Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2018/9/3,2.853714254,2.119222484,2.492268521,1.680921703,2.155335785,1.124308631,1.770629502,1.983882748,2.46251473,1.926277317,2.555876239,1.681203756,1.860592453,2.318383205,1.000723718,1.634189512,1.349749922,1.286103505,1.975498953,1.661569231,1.574973265
2018/9/4,3.036084147,2.488075657,2.634639179,1.797906838,1.865691863,2.244846077,1.787130405,2.175396376,3.075351398,1.965299802,2.70439765,3.111063056,3.114343237,2.856701842,2.043223562,1.906214899,2.210784775,1.903344956,1.759476481,2.349077897,1.886006337
2018/9/5,4.569308455,2.015601576,2.009480651,1.241110909,1.038853996,1.669323913,1.928335494,2.805175883,2.962512143,1.820395152,2.73935984,2.524367427,2.630938297,3.305080012,1.99935034,1.128131942,2.23108253,1.309377626,2.860072637,1.409107537,1.322256484
2018/9/6,4.113269673,2.414242241,2.451562908,1.556743899,1.804691668,2.157655934,2.289484828,2.823279487,3.005293464,1.802163386,2.580667782,2.64520455,2.360293428,2.948788961,1.251090492,1.270690086,1.654415662,2.355689428,1.752802777,2.154538647,1.506453691
2018/9/7,3.335109139,2.292025271,2.284550165,1.553555889,1.494322461,1.946282052,2.062347118,2.55301175,3.089922657,2.332828539,2.770523385,2.28538588,2.177222,3.111783317,1.974552282,1.372511474,2.282002642,2.198561127,2.362861907,1.955841419,2.055120097
2018/9/10,2.701426124,1.98232205,1.983754957,1.460307132,1.560469851,2.09779857,1.47662347,2.069593085,2.87114892,2.024567675,2.090968973,2.344909632,2.38924718,3.013477616,1.898466587,1.068965231,2.178021044,1.419410001,2.618376041,1.388322146,0.977335136
2018/9/11,3.225118856,2.43336665,2.449859519,0.948355686,1.74986806,1.575206016,2.328309025,2.724591582,2.563716208,2.372316663,2.250872747,2.683499955,2.283537058,2.548794189,1.771733517,1.35949902,2.043201475,1.796793324,2.358399611,2.454945471,1.180063035
2018/9/12,2.887995063,2.727790312,2.742003481,2.047533728,2.159102304,1.833776526,1.815344392,2.466584615,2.393319341,2.251460747,2.461288617,2.198160483,2.27407093,2.385540456,1.910267167,1.901099769,2.055552906,1.716548244,2.081879523,2.155642725,2.326648314
2018/9/13,3.474149115,2.491194749,2.511024615,1.862215299,2.057339584,1.875250552,1.411589317,1.920870261,3.032225016,2.381766448,1.944330976,2.368974004,2.176162089,2.750227003,1.895523339,1.450150708,2.20398342,2.138548638,2.121142446,1.484922884,1.575835746
2018/9/14,3.20329065,2.74385187,2.729657274,2.122247192,1.699906537,1.631495428,1.600640031,2.168894127,2.22628781,1.941109528,1.893524584,1.721162601,1.636756301,2.580145569,2.061019665,1.326207561,2.295901708,1.483525039,2.019663581,1.875506072,1.905795835
2018/9/17,3.92631786,2.474392677,2.454052372,1.504884902,2.375666364,2.061247608,1.99203337,2.790037695,2.380331183,2.669478108,2.08162134,2.056466193,1.8016153,2.459907497,1.908364716,1.222044951,2.063962843,1.306111471,2.128292245,1.421087866,1.372124968
2018/9/18,3.068112586,2.02787869,2.018934303,1.349147096,1.746106308,1.933591579,2.105006825,2.509283097,3.301738415,3.083123478,1.789864223,2.430204054,2.372912703,3.075340262,1.658237651,1.350907381,1.95603153,2.025812053,1.550792846,2.125358018,1.715498091
2018/9/19,3.774136275,2.12886068,2.124874591,1.678491787,1.917021039,2.088615288,1.215190142,2.132459623,3.297530994,2.103069849,2.340805507,1.967759826,2.255200152,2.829374251,1.620230219,1.178001549,1.854222778,1.069218517,2.185416909,2.276929483,1.474715386
2018/9/20,3.16460514,1.954523792,2.039875091,1.348587654,1.321101066,2.383545259,1.776564605,2.020562609,2.314073378,2.269533053,1.937431894,2.598255882,2.587765648,2.531537156,2.217481664,1.136940661,2.438170641,1.762256007,2.650146089,1.511865848,1.628470948
2018/9/21,3.941168705,2.927538789,2.936403152,1.788745285,1.883196523,1.939633301,1.686225271,2.407624272,3.558315154,2.299860289,2.983811565,2.053907548,2.002441888,2.877732902,1.871803771,1.61173344,1.93526634,1.544867136,2.967444876,1.67395929,1.473439634
2018/9/25,3.669021897,1.857588498,1.838849513,1.02512422,2.046596601,1.454072683,1.394022519,1.609376007,2.228629575,1.920926351,2.231225037,2.1731964,1.78161339,2.891389746,1.505012294,1.405359557,1.800187628,0.933193836,2.146855576,1.239966916,0.843327084
2018/9/26,3.503987925,2.460052493,2.464586569,1.096713727,1.028304768,2.20035926,2.394853977,2.489292159,3.084319858,2.260303906,1.583557709,1.818938891,2.152560689,2.904833994,1.720518557,0.50266276,1.935776352,1.626209349,1.941405857,1.96854397,1.254396508
2018/9/27,3.762708145,2.791746554,2.793762395,1.75545313,2.05768399,2.776925058,1.954535783,2.035392259,2.277984046,2.703345177,2.232351972,2.838253299,2.540606979,2.482513209,2.271184271,1.258805412,2.457596411,2.234739321,2.254416942,1.846035358,1.362595737
2018/9/28,3.466682199,2.552091917,2.580412553,1.764077951,2.342180961,2.264412801,1.635649125,1.949131476,2.60301147,2.532586096,2.421362872,2.945077613,2.669054789,2.354615915,1.688643742,1.32285881,2.092695402,1.372137659,2.080268586,2.537485528,1.110830198
