t,Date,Bitcoin,SIG,FIG,FDG,SDG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
1,2017/3/1,3.711568883,2.580305708,2.572604618,2.603753763,2.496731045,2.170041712,2.303759654,2.193520861,2.057103564,2.699554479,2.931130069,2.729837281,2.83442989,1.81450441,2.146843123,0.50221191,2.0856787,2.588584637,2.453198617,1.852650851,1.372649185
2,2017/3/2,3.763506026,2.917575018,2.902687346,2.224418868,2.305183621,1.982693014,1.947348719,2.073414963,2.439290189,1.798326772,1.226513802,1.353827907,1.396170002,2.921822604,1.843861163,0.53095317,1.844712102,2.213949055,1.773537906,1.927464851,1.272974201
3,2017/3/3,3.290269675,2.584114037,2.548438887,2.272210621,2.450929677,1.983682042,1.411042934,1.747346135,1.683819325,2.441222568,1.498373635,1.790903584,2.514953775,1.795181527,2.266250548,1.003931725,2.600765976,2.24515886,2.097699246,2.148815673,1.876809084
4,2017/3/6,2.332291897,2.461756975,2.439583812,2.137613523,1.900810075,1.885736253,1.655003616,1.783238687,2.044328008,1.439668153,1.706778351,2.003520287,1.752029524,1.735503281,1.797379224,0.641003088,1.950754024,1.757481176,1.975187806,1.531804882,0.908497266
5,2017/3/7,4.182096267,2.560621011,2.526233427,2.00945288,1.894923511,1.995876931,1.537707659,1.882727376,1.538121652,1.235705664,1.492144111,1.636612313,2.049361819,1.931719208,1.47666428,0.358078892,1.563056058,1.454321317,2.066408481,1.530909624,0.901480453
6,2017/3/8,4.396055665,2.490268637,2.43849557,1.83346801,2.213525284,1.25547422,1.767833832,1.704265918,1.658391129,2.028820807,1.798758636,2.209104828,2.281630608,2.50663987,1.681537982,0.906888685,1.494851196,2.438940621,1.969112583,2.183416052,1.544669467
7,2017/3/9,4.011124326,2.285516426,2.244857498,2.175772537,2.465104245,2.085453147,1.95540328,2.074829617,2.250939317,1.645913798,2.43558278,2.327505356,2.422581039,2.360467902,1.812654579,1.117089488,2.290723504,1.925440922,1.750196806,1.485813747,1.84212437
8,2017/3/10,5.243721376,2.458510974,2.414908502,2.48564497,2.631347922,1.918846305,1.901175718,1.986032591,1.415093844,2.443853807,2.205181626,2.522398889,1.991438336,2.085421859,2.297413275,0.638033555,2.625722783,2.149234428,1.55138636,2.080833016,1.627535603
9,2017/3/13,2.945802055,2.17588541,2.136298572,2.503863308,2.833166587,-0.78573855,1.049367774,1.177621874,2.719542716,1.99077888,1.708334936,1.697595579,1.825152781,2.706979119,-1.037411219,0.844012957,-1.129445119,-0.431423541,-0.419197937,-0.668997255,-0.917634866
10,2017/3/14,3.11049395,2.342499761,2.314632192,1.332131673,2.756246894,1.540003087,1.616757099,1.726242528,1.700121915,0.797190259,1.989516551,1.937603309,2.385765741,1.975595443,1.648573541,0.455299789,1.917241284,1.916350179,2.375485513,1.580698309,0.894041261
11,2017/3/15,2.391422306,3.163374334,3.174680732,1.9390952,1.536845465,2.650845571,2.31890181,2.336625676,1.824149173,1.519340643,1.388881127,1.55944601,1.679268959,2.255319485,2.672355055,-0.072755517,2.697569054,2.851561882,2.72800242,2.800854588,2.340118772
12,2017/3/16,4.611000697,2.701329825,2.700460428,3.171413229,3.082701745,2.056352527,1.660313528,1.551086621,1.878835613,2.270496218,2.466028296,2.348461047,1.818860245,2.604655835,1.790810587,0.901668961,1.968785372,1.877778875,2.54025928,1.879769759,1.877533941
13,2017/3/17,4.396806444,1.99454801,1.947647828,1.979928926,1.811468446,1.667489142,1.358275341,1.462358741,2.745984309,1.25409096,1.925437619,2.248829563,2.120790856,1.943093082,1.34643658,1.107898152,1.80556128,2.250846003,2.041858949,1.864536193,1.419889413
14,2017/3/20,3.360793638,1.849058802,1.831274303,1.888965169,1.881222502,1.42146324,1.564619407,1.658536644,2.089797716,1.811370046,1.651970106,1.541464474,1.782408071,2.187015266,1.608940394,-0.002706143,1.751912299,1.511470749,2.236524548,1.781379068,1.458897358
15,2017/3/21,4.25881464,2.981677954,2.974411858,2.161080918,1.861817352,2.233551543,2.968105303,3.292311135,1.94518936,2.168752161,2.520626115,2.803219048,2.687048957,1.987833454,2.239684104,1.251361599,2.376334705,2.602951356,2.655743309,2.154208591,1.530413053
16,2017/3/22,4.741081982,1.960632995,1.957886645,2.462064969,2.431198127,2.033534596,2.017780898,2.160429888,2.328470094,2.242574068,2.482784837,2.093805843,2.474029117,2.102849235,1.48445523,0.742204265,1.650154507,2.396770363,2.021642838,2.045099023,1.144356336
